Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),Latin,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Latin,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Latin,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Other Southern European Languages, nec",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Eastern European Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Baltic, nfd",Not applicable,0
